,beekin_id,latitude,longitude,baths,beds,sqft,posted_at,property_type,price,city,blockgroup,days_since_2014,trans_log_price
1193,fd000e7afc,43.659263,-116.631784,2.0,3.0,1696.0,2022-06-28,1.0,2095.0,Caldwell,160270211001,3100,1.7955331405367707
1194,27415941ed,43.858278,-116.777696,2.0,3.0,1408.0,2022-06-29,1.0,2299.0,Caldwell,160759604002,3101,2.190459573953243
1195,6653234b3e,43.635131,-116.685741,2.0,2.0,920.0,2022-06-30,3.0,1300.0,Caldwell,160270217002,3102,-0.2325906180239134
1196,1a0960c7a2,43.664854,-116.646686,2.0,3.0,1574.0,2022-06-30,1.0,2150.0,Caldwell,160270211001,3102,1.9056726301549853
1197,9832094deb,43.664854,-116.646686,2.0,4.0,2126.0,2022-07-01,3.0,2600.0,Caldwell,160270211001,3103,2.7133855339012043
1198,232e6cefe1,43.622082,-116.623364,1.0,1.0,935.0,2022-07-01,2.0,1275.0,Caldwell,160270210021,3103,-0.3151203021306014
1199,b91a0aa799,43.622082,-116.623364,1.0,2.0,840.0,2022-07-01,2.0,1440.0,Caldwell,160270210021,3103,0.20210934008843437
1200,e871bf54cb,43.622082,-116.623364,2.0,2.0,940.0,2022-07-01,2.0,1450.0,Caldwell,160270210021,3103,0.23152222692208596
1201,b79d963bd5,43.622082,-116.623364,2.0,2.0,990.0,2022-07-01,2.0,1570.0,Caldwell,160270210021,3103,0.5694600383205907
1202,496fd0401b,43.622082,-116.623364,2.0,3.0,1120.0,2022-07-01,2.0,1725.0,Caldwell,160270210021,3103,0.9696172899655082
1203,5a73e91e98,43.61982,-116.647996,3.0,4.0,1600.0,2022-07-01,1.0,2275.0,Caldwell,160270210011,3103,2.14585772849715
1204,d2a630cbd1,43.63598,-116.688142,4.0,5.0,2808.0,2022-07-01,1.0,2675.0,Caldwell,160270217002,3103,2.834250887773959
1205,45f5426da5,43.634872,-116.68526,2.0,2.0,920.0,2022-07-01,0.0,1350.0,Caldwell,160270217002,3103,-0.07218874476882144
1206,54dfdf6384,43.60252,-116.660797,3.0,3.0,1365.0,2022-07-02,0.0,2100.0,Caldwell,160270218003,3104,1.805664599887347
1207,6120a744c1,43.60252,-116.660503,3.0,2.0,1018.0,2022-07-02,3.0,1700.0,Caldwell,160270218003,3104,0.90757027289951
1359,882b466272,43.495158,-111.956954,3.0,3.0,1400.0,2022-04-15,0.0,1600.0,Falls,160199705011,3026,0.649906828396395
1360,882b466272,43.495158,-111.956954,3.0,3.0,1400.0,2022-04-16,0.0,1600.0,Falls,160199705011,3027,0.649906828396395
1361,882b466272,43.495158,-111.956954,3.0,3.0,1400.0,2022-04-21,0.0,1600.0,Falls,160199705011,3032,0.649906828396395
1362,882b466272,43.495158,-111.956954,3.0,3.0,1400.0,2022-04-22,0.0,1600.0,Falls,160199705011,3033,0.649906828396395
1363,882b466272,43.495158,-111.956954,3.0,3.0,1400.0,2022-04-23,0.0,1600.0,Falls,160199705011,3034,0.649906828396395
1364,882b466272,43.495158,-111.956954,3.0,3.0,1400.0,2022-04-25,0.0,1600.0,Falls,160199705011,3036,0.649906828396395
1365,882b466272,43.495158,-111.956954,3.0,3.0,1400.0,2022-04-27,0.0,1600.0,Falls,160199705011,3038,0.649906828396395
1366,10977be7c9,42.523648,-114.474076,3.0,3.0,1449.0,2022-04-15,0.0,1675.0,Falls,160830012002,3026,0.8446040073850297
