,blockgroup,population,housing,education,transportation,year
425,160270210011,15911.0,4580.0,10835.0,6380.0,2019
426,160270205041,1480.0,481.0,1070.0,649.0,2019
427,160270205043,979.0,538.0,813.0,536.0,2019
428,160270205042,3196.0,1244.0,2449.0,1723.0,2019
429,160270209011,6546.0,1924.0,4537.0,2776.0,2019
430,160270209013,2471.0,803.0,1597.0,1047.0,2019
431,160270209012,4899.0,2060.0,4111.0,1989.0,2019
432,160270204012,5957.0,2086.0,4420.0,3005.0,2019
433,160270204014,760.0,272.0,584.0,316.0,2019
434,160270210024,3534.0,1708.0,2955.0,1353.0,2019
435,160270210022,3208.0,1198.0,2560.0,1351.0,2019
436,160270210021,1815.0,708.0,1320.0,700.0,2019
437,160270204021,1105.0,385.0,805.0,542.0,2019
438,160270204025,2661.0,843.0,2093.0,1174.0,2019
439,160270204023,1180.0,315.0,813.0,472.0,2019
440,160270204024,720.0,414.0,683.0,329.0,2019
441,160270203001,806.0,448.0,685.0,271.0,2019
442,160270203002,2101.0,621.0,1529.0,851.0,2019
443,160270215001,763.0,288.0,600.0,293.0,2019
444,160270215003,680.0,281.0,544.0,378.0,2019
445,160270215004,497.0,259.0,463.0,206.0,2019
446,160270215002,774.0,320.0,526.0,347.0,2019
447,160270215005,2280.0,673.0,1790.0,987.0,2019
448,160270216003,1035.0,437.0,881.0,475.0,2019
449,160270216002,1914.0,779.0,1363.0,587.0,2019
450,160270216001,1384.0,525.0,938.0,376.0,2019
451,160270211002,6148.0,2007.0,4587.0,2955.0,2019
452,160270211001,8579.0,2770.0,5791.0,3270.0,2019
453,160270218002,2291.0,753.0,1685.0,840.0,2019
454,160270218001,2236.0,765.0,1563.0,744.0,2019
455,160270223001,1688.0,697.0,1322.0,588.0,2019
456,160270224002,1770.0,675.0,1499.0,776.0,2019
457,160270212002,1925.0,650.0,1683.0,763.0,2019
458,160270217001,4256.0,1343.0,2903.0,1459.0,2019
459,160270217002,4776.0,1803.0,3567.0,1789.0,2019
460,160270217003,2669.0,875.0,2014.0,1264.0,2019
461,160270207002,2795.0,1024.0,2159.0,1293.0,2019
462,160270202001,1484.0,590.0,1183.0,626.0,2019
463,160270202002,1890.0,606.0,1291.0,740.0,2019
464,160270201001,1084.0,606.0,962.0,493.0,2019
465,160270203004,1434.0,604.0,1094.0,642.0,2019
466,160270203003,668.0,226.0,543.0,353.0,2019
467,160270209021,7509.0,2308.0,5438.0,3664.0,2019
468,160270206025,865.0,327.0,763.0,338.0,2019
469,160270206026,1178.0,548.0,1063.0,459.0,2019
470,160270206021,1375.0,423.0,1131.0,721.0,2019
471,160270210023,2105.0,760.0,1466.0,869.0,2019
472,160270209022,5875.0,2226.0,4581.0,2209.0,2019
473,160270202003,1307.0,483.0,1068.0,595.0,2019
474,160270213001,1368.0,507.0,966.0,484.0,2019
475,160270218003,2896.0,1078.0,2580.0,1443.0,2019
476,160270223002,2662.0,791.0,2058.0,849.0,2019
477,160270224001,2923.0,1017.0,2242.0,1001.0,2019
478,160270212003,4766.0,1290.0,2898.0,1686.0,2019
479,160270212001,2171.0,720.0,1370.0,745.0,2019
480,160270222003,2478.0,857.0,1853.0,881.0,2019
481,160270205011,1684.0,635.0,1375.0,773.0,2019
482,160270211003,5397.0,1869.0,3865.0,2307.0,2019
483,160270204022,641.0,393.0,523.0,227.0,2019
484,160270219033,817.0,395.0,677.0,413.0,2019
